LLK;parmB1;parmB2;parmB3;LIT_frg;POM_split;DOC_frg;DOC_lch;parmK1;parmK2;parmK3;parmK4;parmK5;parmK9;parmK10;la_2;la_3;sigma2Litter;sigma2Soil
-1722.266253728619;0.6478533391681736;0.5809709759266869;0.7834913548849795;3.811663387177434E-5;0.8015323670833223;0.542033383741018;4.932561781112279E-4;0.44285853032160855;0.0011169782755734833;1.032380823781016E-4;0.855037542875945;6.007506919629227E-5;1.069787743548013E-5;5.298281337057546E-4;0.02355433635695536;0.015620452525566677;244.11714409386724;704.2240080167263
-1723.0607040914745;0.6674248543912852;0.569764108470798;0.7862615816796412;3.4292346239636974E-5;0.8067352560283427;0.5259045137617372;4.0167472555590207E-4;0.45521648905041784;0.0011264453810979017;1.0209731155336193E-4;0.8533838945191431;6.0771247418923096E-5;1.07135374316478E-5;5.292824247059439E-4;0.023014706336545447;0.015740556845330284;244.87395670878442;704.4312418500047
-1724.7469165169098;0.6696690617098402;0.5916742785855448;0.7310053450083744;3.663052967136547E-5;0.7971884141120397;0.5224469353715372;4.4511459526666797E-4;0.4622214744967509;0.001109410174402394;1.030485909249247E-4;0.8538188229421085;6.094080571131294E-5;1.0782799096658303E-5;5.287991957221784E-4;0.023115912885928052;0.015753192650802127;246.07363286355158;704.7746368191318
-1724.1649893237184;0.6904307833546605;0.5900508654800984;0.7623334429446033;4.5019989933253226E-5;0.7924815723038038;0.5140239783260082;3.9100930728223335E-4;0.4695092426318637;0.0011116265702465103;1.017023664627331E-4;0.8527713875655932;6.147231987305987E-5;1.0821134702481125E-5;5.286829127172344E-4;0.02307169087561466;0.015910842539275806;244.32635748345496;703.854757543955
-1722.8905410379232;0.667988326054998;0.5983911618687812;0.7821699694067399;4.372774939620674E-5;0.7889365932284063;0.5158577242806058;2.8164809503916855E-4;0.46863559172435704;0.0011066383290220926;1.0034557057415337E-4;0.853462434409167;6.209433202533097E-5;1.080417722321753E-5;5.276085165509011E-4;0.022723822270217513;0.015859193957139226;242.50265027037375;703.3083591211038
-1725.2862242633284;0.6459929689263411;0.5626178240385564;0.7782896741674709;3.7234559365776845E-5;0.7934949895792844;0.49404078137536234;2.7503034178805906E-4;0.4653112691402257;0.0011286450437638282;1.0031188417530088E-4;0.8536740860979642;6.137733163518525E-5;1.0770133371632747E-5;5.28362289294489E-4;0.02283953964168107;0.01595374741309681;240.39888228740412;700.8972557131433
-1724.3504653671698;0.6686371368177937;0.5502751871406407;0.7521758633235059;3.3996485782562753E-5;0.7922094525468883;0.49803801636659956;2.7620899715395805E-4;0.46362762484703424;0.0011040188773964873;1.0040951819263428E-4;0.8554650809140587;6.116770367047756E-5;1.08514687281065E-5;5.29619249399606E-4;0.02345096967406945;0.015882758924027046;242.18695476546964;701.4048566587767
-1719.9611755257897;0.6897215572987984;0.565959011975807;0.7773571711322197;3.241333868634877E-5;0.790671908785799;0.5145779482525796;2.3963468652564565E-4;0.4636167153812576;0.0011014452820888988;1.0166539420597485E-4;0.8586260838590336;6.064016507622954E-5;1.0821897791875943E-5;5.313412910561186E-4;0.023329518999426094;0.015988386455804218;239.81966355420906;701.2148774544213
-1721.5615942437205;0.6761613655469942;0.5994239752575193;0.7718256981060977;4.270763030806568E-5;0.797165325264318;0.5008553519587007;2.3464987442290772E-4;0.46332977191996977;0.0011180707153929106;1.0117804886507537E-4;0.8606723466132851;6.0296508029665394E-5;1.0830045199523255E-5;5.305268619049678E-4;0.022964936419354272;0.015875234870753947;237.5338793931501;700.532807699631
-1724.50251701025;0.6672146879547263;0.5030377306875677;0.7708640921862626;3.3627209527073136E-5;0.7973841275032729;0.49989008999046874;1.9500601636462012E-4;0.4741168676538215;0.0011145587184665617;1.0138875313676924E-4;0.8607124039851062;6.038707047038368E-5;1.0769530786281833E-5;5.316430519839958E-4;0.023303048110898315;0.015910066292713392;238.41102858481736;701.6064936856969
-1721.7961371730387;0.6647217515352656;0.5668758735658849;0.7691078055921597;3.6541994767257684E-5;0.7932367525687598;0.5025064209653559;2.2564836527241247E-4;0.46778938533783515;0.0011122258268075548;1.0138058327838594E-4;0.8608777031332059;6.049367551725944E-5;1.0691996127237431E-5;5.311184402477097E-4;0.023695589290041466;0.015704662171104326;238.80889183682703;701.56439465246
-1726.8220930313232;0.6857853143193052;0.5742674717460058;0.762184248264811;5.02318955369892E-5;0.7896123396980252;0.49323587332638746;2.198170599793664E-4;0.4565420790267526;0.0011161162323973062;1.0096909624201325E-4;0.8657207389380662;6.147897548851917E-5;1.0721005586099222E-5;5.317259707897096E-4;0.02324086706282954;0.015766334920344287;238.9250078905888;701.089340281725
-1730.2968188891791;0.6152031633356179;0.5871365811223369;0.7853168554148205;5.240341894208046E-5;0.7940374333305792;0.47948637384323467;2.040630190941375E-4;0.45401381004859126;0.0011151462805709393;1.0092656686397773E-4;0.8655243159564058;6.381546844182031E-5;1.0791739577707584E-5;5.316900744027774E-4;0.022570843033115087;0.01574946411952019;237.19588078261532;701.0470983804811
